Size, Type, Time
1000000, "Parallel", 0.169409
1000000, "Built-in", 0.140359
100000, "Sequential", 0.008695
100000, "Parallel", 0.107709
100000, "Built-in", 0.011820
500000, "Sequential", 0.048471
500000, "Parallel", 0.106727
500000, "Built-in", 0.065931
400000, "Sequential", 0.038163
400000, "Parallel", 0.083125
400000, "Built-in", 0.052691
400000, "Sequential", 0.038145
400000, "Parallel", 0.106317
400000, "Built-in", 0.053315
700000, "Sequential", 0.069137
700000, "Parallel", 0.129904
700000, "Built-in", 0.095102
900000, "Sequential", 0.090902
900000, "Parallel", 0.154439
900000, "Built-in", 0.123735
800000, "Sequential", 0.079542
800000, "Parallel", 0.146703
800000, "Built-in", 0.109781
800000, "Sequential", 0.079978
800000, "Parallel", 0.152860
800000, "Built-in", 0.110597
400000, "Sequential", 0.037630
400000, "Parallel", 0.093664
400000, "Built-in", 0.052748
1000000, "Sequential", 0.100444
1000000, "Parallel", 0.176511
1000000, "Built-in", 0.139441
1000000, "Sequential", 0.100560
1000000, "Parallel", 0.181179
1000000, "Built-in", 0.138969
400000, "Sequential", 0.038492
400000, "Parallel", 0.110838
400000, "Built-in", 0.052363
300000, "Sequential", 0.028055
300000, "Parallel", 0.101950
300000, "Built-in", 0.039039
1000000, "Sequential", 0.101742
1000000, "Parallel", 0.179486
1000000, "Built-in", 0.139362
200000, "Sequential", 0.018250
200000, "Parallel", 0.100826
200000, "Built-in", 0.025087
900000, "Sequential", 0.089944
900000, "Parallel", 0.155782
900000, "Built-in", 0.126710
100000, "Sequential", 0.008586
100000, "Parallel", 0.108887
100000, "Built-in", 0.011850
300000, "Sequential", 0.028564
300000, "Parallel", 0.112228
300000, "Built-in", 0.039019
300000, "Sequential", 0.028253
300000, "Parallel", 0.095138
300000, "Built-in", 0.039024
500000, "Sequential", 0.048358
500000, "Parallel", 0.110840
500000, "Built-in", 0.067842
600000, "Sequential", 0.059006
600000, "Parallel", 0.142365
600000, "Built-in", 0.080949
500000, "Sequential", 0.048541
500000, "Parallel", 0.131946
500000, "Built-in", 0.066663
1000000, "Sequential", 0.101348
1000000, "Parallel", 0.187753
1000000, "Built-in", 0.138415
400000, "Sequential", 0.038174
400000, "Parallel", 0.095752
400000, "Built-in", 0.052161
900000, "Sequential", 0.090838
900000, "Parallel", 0.158924
900000, "Built-in", 0.124953
600000, "Sequential", 0.058579
600000, "Parallel", 0.120690
600000, "Built-in", 0.080184
600000, "Sequential", 0.059069
600000, "Parallel", 0.110795
600000, "Built-in", 0.079662
400000, "Sequential", 0.038168
400000, "Parallel", 0.104491
400000, "Built-in", 0.061975
600000, "Sequential", 0.058587
600000, "Parallel", 0.125296
600000, "Built-in", 0.080689
1000000, "Sequential", 0.101090
1000000, "Parallel", 0.176040
1000000, "Built-in", 0.140066
1000000, "Sequential", 0.105763
1000000, "Parallel", 0.172370
1000000, "Built-in", 0.138360
1000000, "Sequential", 0.102580
1000000, "Parallel", 0.177040
1000000, "Built-in", 0.139504
400000, "Sequential", 0.037943
400000, "Parallel", 0.095926
400000, "Built-in", 0.052833
400000, "Sequential", 0.038434
400000, "Parallel", 0.094945
400000, "Built-in", 0.053548
800000, "Sequential", 0.078736
800000, "Parallel", 0.152438
800000, "Built-in", 0.109707
400000, "Sequential", 0.037930
400000, "Parallel", 0.103934
400000, "Built-in", 0.052174
200000, "Sequential", 0.018270
200000, "Parallel", 0.084540
200000, "Built-in", 0.025121
700000, "Sequential", 0.069312
700000, "Parallel", 0.136667
700000, "Built-in", 0.095865
600000, "Sequential", 0.058489
600000, "Parallel", 0.127397
600000, "Built-in", 0.080496
1000000, "Sequential", 0.101245
1000000, "Parallel", 0.169842
1000000, "Built-in", 0.140231
900000, "Sequential", 0.091226
900000, "Parallel", 0.155535
900000, "Built-in", 0.124058
400000, "Sequential", 0.037628
400000, "Parallel", 0.100644
400000, "Built-in", 0.053277
800000, "Sequential", 0.079604
800000, "Parallel", 0.151550
800000, "Built-in", 0.109559
800000, "Sequential", 0.078752
800000, "Parallel", 0.142159
800000, "Built-in", 0.109181
400000, "Sequential", 0.037978
400000, "Parallel", 0.113321
400000, "Built-in", 0.053456
100000, "Sequential", 0.008586
100000, "Parallel", 0.089971
100000, "Built-in", 0.011759
1000000, "Sequential", 0.101602
1000000, "Parallel", 0.178454
1000000, "Built-in", 0.143708
200000, "Sequential", 0.018816
200000, "Parallel", 0.109853
200000, "Built-in", 0.025152
500000, "Sequential", 0.047980
500000, "Parallel", 0.114849
500000, "Built-in", 0.067091
600000, "Sequential", 0.058374
600000, "Parallel", 0.119191
600000, "Built-in", 0.085481
500000, "Sequential", 0.047970
500000, "Parallel", 0.103753
500000, "Built-in", 0.067367
